NUMBER	GLOSS	ENGLISH	CONCEPTICON_ID	CONCEPTICON_GLOSS
250	uncle	paternal uncle. maternal is /ɣu₁/	1985	PATERNAL UNCLE (FATHER'S BROTHER)
251	unripe		1958	UNRIPE
252	village	more commonly /ɣaʔ₄ʃuŋ₃/ today	930	VILLAGE
253	war		935	WAR
254	what?		1236	WHAT
255	where		1237	WHERE
256	white		1335	WHITE
257	who?		1235	WHO
258	why?		1270	WHY
259	wing		1257	WING
260	worm		1219	WORM
261	yesterday		1174	YESTERDAY
262	you		1215	THOU
263	young man		76	YOUNG MAN
264	young woman		77	YOUNG WOMAN
