ID,Local_ID,Language_ID,Parameter_ID,Value,Form,Segments,Comment,Source,Cognacy,Loan,Graphemes,Profile,Orthographic_Entry,Attestation
MuishaungNeedham-250_uncle-1,,MuishaungNeedham,250_uncle,i.βɒŋ,i.βɒŋ,i + β ɒ ŋ,,Needham1897,,,^i . β ɒ ŋ$,default,î´vong,1897
MuishaungModern-250_uncle-1,,MuishaungModern,250_uncle,ə₀βɐuŋ₂,ə₀βɐuŋ₂,ə ₀/⁰ β ɐu ŋ ₂/²³¹,,VanDam2025,,,^ə ₀ β ɐu ŋ ₂$,default,v.wvungx,2024
MuishaungNeedham-251_unripe-1,,MuishaungNeedham,251_unripe,ɑ.tʰɪŋ,ɑ.tʰɪŋ,ɑ + tʰ ɪ ŋ,,Needham1897,,,^ɑ . tʰ ɪ ŋ$,default,â´thing,1897
MuishaungModern-251_unripe-1,,MuishaungModern,251_unripe,ə₀t̪ʰɨŋ₂,ə₀t̪ʰɨŋ₂,ə ₀/⁰ t̪ʰ ɨ ŋ ₂/²³¹,,VanDam2025,,,^ə ₀ t̪ʰ ɨ ŋ ₂$,default,v.httuingx,2024
MuishaungNeedham-252_village-1,,MuishaungNeedham,252_village,ki.ʌ̃,ki.ʌ̃,k i + ʌ̃,,Needham1897,,,^k i . ʌ̃$,default,kî´aṉ,1897
MuishaungModern-252_village-1,,MuishaungModern,252_village,ke₁,ke₁,k e ₁/³¹,,VanDam2025,,,^k e ₁$,default,kez,2024
MuishaungNeedham-253_war-1,,MuishaungNeedham,253_war,rɑ.luŋ,rɑ.luŋ,r ɑ + l u ŋ,,Needham1897,,,^r ɑ . l u ŋ$,default,râ´lûng,1897
MuishaungModern-253_war-1,,MuishaungModern,253_war,"rə₀luŋ₃, rə₀kʰɐt₄",rə₀luŋ₃,r ə ₀/⁰ l u ŋ ₃/³³,,VanDam2025,,,^r ə ₀ l u ŋ ₃$,default,"rvlungc., rvkhvt",2024
MuishaungModern-253_war-2,,MuishaungModern,253_war,"rə₀luŋ₃, rə₀kʰɐt₄",rə₀kʰɐt₄,r ə ₀/⁰ kʰ ɐ t ₄/⁵⁵,,VanDam2025,,,^r ə ₀ kʰ ɐ t ₄$,default,"rvlungc., rvkhvt",2024
MuishaungNeedham-254_what-1,,MuishaungNeedham,254_what,jʌm.lu,jʌm.lu,j ʌ m + l u,,Needham1897,,,^j ʌ m . l u$,default,yam´lû,1897
MuishaungModern-254_what-1,,MuishaungModern,254_what,ʒəm₂li₂,ʒəm₂li₂,ʒ ə m ₂/²³¹ + l i ₂/²³¹,,VanDam2025,,,^ʒ ə m ₂ l i ₂$,default,yvmx.lix,2024
MuishaungNeedham-255_where-1,,MuishaungNeedham,255_where,m.ʧu.lɑ,m.ʧu.lɑ,m + tʃ u + l ɑ,,Needham1897,,,^m . ʧ u . l ɑ$,default,m´jû´lâ,1897
